country,year,pop,continent,lifeExp,gdpPercap
Belgium,1982,9856303,Breast Cancer,73.93,20979.84589
Belgium,1987,9870200,Breast Cancer,75.35,22525.56308
Belgium,1992,10045622,Breast Cancer,76.46,25575.57069
Belgium,1997,10199787,Breast Cancer,77.53,27561.19663
Belgium,2002,10311970,Breast Cancer,78.32,30485.88375
Belgium,2007,10392226,Breast Cancer,79.441,33692.60508
Benin,1952,1738315,Testicular Cancer,38.223,1062.7522
Benin,1957,1925173,Testicular Cancer,40.358,959.6010805
Benin,1962,2151895,Testicular Cancer,42.618,949.4990641
Benin,1967,2427334,Testicular Cancer,44.885,1035.831411
Benin,1972,2761407,Testicular Cancer,47.014,1085.796879
Benin,1977,3168267,Testicular Cancer,49.19,1029.161251
Benin,1982,3641603,Testicular Cancer,50.904,1277.897616
Benin,1987,4243788,Testicular Cancer,52.337,1225.85601
Benin,1992,4981671,Testicular Cancer,53.919,1191.207681
Benin,1997,6066080,Testicular Cancer,54.777,1232.975292
Benin,2002,7026113,Testicular Cancer,54.406,1372.877931
Benin,2007,8078314,Testicular Cancer,56.728,1441.284873
Bolivia,1952,2883315,Cervical Cancers,40.414,2677.326347
Bolivia,1957,3211738,Cervical Cancers,41.89,2127.686326
Bolivia,1962,3593918,Cervical Cancers,43.428,2180.972546
Bolivia,1967,4040665,Cervical Cancers,45.032,2586.886053
Bolivia,1972,4565872,Cervical Cancers,46.714,2980.331339
Bolivia,1977,5079716,Cervical Cancers,50.023,3548.097832
Bolivia,1982,5642224,Cervical Cancers,53.859,3156.510452
Bolivia,1987,6156369,Cervical Cancers,57.251,2753.69149
Bolivia,1992,6893451,Cervical Cancers,59.957,2961.699694
Bolivia,1997,7693188,Cervical Cancers,62.05,3326.143191
Bolivia,2002,8445134,Cervical Cancers,63.883,3413.26269
Bolivia,2007,9119152,Cervical Cancers,65.554,3822.137084
Bosnia and Herzegovina,1952,2791000,Breast Cancer,53.82,973.5331948
Bosnia and Herzegovina,1957,3076000,Breast Cancer,58.45,1353.989176
Bosnia and Herzegovina,1962,3349000,Breast Cancer,61.93,1709.683679
Bosnia and Herzegovina,1967,3585000,Breast Cancer,64.79,2172.352423
Bosnia and Herzegovina,1972,3819000,Breast Cancer,67.45,2860.16975
Bosnia and Herzegovina,1977,4086000,Breast Cancer,69.86,3528.481305
Bosnia and Herzegovina,1982,4172693,Breast Cancer,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977,Breast Cancer,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013,Breast Cancer,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000,Breast Cancer,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416,Breast Cancer,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198,Breast Cancer,74.852,7446.298803
Botswana,1952,442308,Testicular Cancer,47.622,851.2411407
Botswana,1957,474639,Testicular Cancer,49.618,918.2325349
Botswana,1962,512764,Testicular Cancer,51.52,983.6539764
Botswana,1967,553541,Testicular Cancer,53.298,1214.709294
Botswana,1972,619351,Testicular Cancer,56.024,2263.611114
Botswana,1977,781472,Testicular Cancer,59.319,3214.857818
Botswana,1982,970347,Testicular Cancer,61.484,4551.14215
Botswana,1987,1151184,Testicular Cancer,63.622,6205.88385
Botswana,1992,1342614,Testicular Cancer,62.745,7954.111645
Botswana,1997,1536536,Testicular Cancer,52.556,8647.142313
Botswana,2002,1630347,Testicular Cancer,46.634,11003.60508
Botswana,2007,1639131,Testicular Cancer,50.728,12569.85177
Brazil,1952,56602560,Cervical Cancers,50.917,2108.944355
Brazil,1957,65551171,Cervical Cancers,53.285,2487.365989
Brazil,1962,76039390,Cervical Cancers,55.665,3336.585802
Brazil,1967,88049823,Cervical Cancers,57.632,3429.864357
Brazil,1972,100840058,Cervical Cancers,59.504,4985.711467
Brazil,1977,114313951,Cervical Cancers,61.489,6660.118654
Brazil,1982,128962939,Cervical Cancers,63.336,7030.835878
Brazil,1987,142938076,Cervical Cancers,65.205,7807.095818
Brazil,1992,155975974,Cervical Cancers,67.057,6950.283021
Brazil,1997,168546719,Cervical Cancers,69.388,7957.980824
Brazil,2002,179914212,Cervical Cancers,71.006,8131.212843
Brazil,2007,190010647,Cervical Cancers,72.39,9065.800825
Bulgaria,1952,7274900,Breast Cancer,59.6,2444.286648
Bulgaria,1957,7651254,Breast Cancer,66.61,3008.670727
Bulgaria,1962,8012946,Breast Cancer,69.51,4254.337839
Bulgaria,1967,8310226,Breast Cancer,70.42,5577.0028
Bulgaria,1972,8576200,Breast Cancer,70.9,6597.494398
Bulgaria,1977,8797022,Breast Cancer,70.81,7612.240438
Bulgaria,1982,8892098,Breast Cancer,71.08,8224.191647
Bulgaria,1987,8971958,Breast Cancer,71.34,8239.854824
Bulgaria,1992,8658506,Breast Cancer,71.19,6302.623438
Bulgaria,1997,8066057,Breast Cancer,70.32,5970.38876
Bulgaria,2002,7661799,Breast Cancer,72.14,7696.777725
Bulgaria,2007,7322858,Breast Cancer,73.005,10680.79282
Burkina Faso,1952,4469979,Testicular Cancer,31.975,543.2552413
Burkina Faso,1957,4713416,Testicular Cancer,34.906,617.1834648
Burkina Faso,1962,4919632,Testicular Cancer,37.814,722.5120206
Burkina Faso,1967,5127935,Testicular Cancer,40.697,794.8265597
Burkina Faso,1972,5433886,Testicular Cancer,43.591,854.7359763
Burkina Faso,1977,5889574,Testicular Cancer,46.137,743.3870368
Burkina Faso,1982,6634596,Testicular Cancer,48.122,807.1985855
Burkina Faso,1987,7586551,Testicular Cancer,49.557,912.0631417
Burkina Faso,1992,8878303,Testicular Cancer,50.26,931.7527731
Burkina Faso,1997,10352843,Testicular Cancer,50.324,946.2949618
Burkina Faso,2002,12251209,Testicular Cancer,50.65,1037.645221
Burkina Faso,2007,14326203,Testicular Cancer,52.295,1217.032994
Burundi,1952,2445618,Testicular Cancer,39.031,339.2964587
Burundi,1957,2667518,Testicular Cancer,40.533,379.5646281
Burundi,1962,2961915,Testicular Cancer,42.045,355.2032273
Burundi,1967,3330989,Testicular Cancer,43.548,412.9775136
Burundi,1972,3529983,Testicular Cancer,44.057,464.0995039
Burundi,1977,3834415,Testicular Cancer,45.91,556.1032651
Burundi,1982,4580410,Testicular Cancer,47.471,559.603231
Burundi,1987,5126023,Testicular Cancer,48.211,621.8188189
Burundi,1992,5809236,Testicular Cancer,44.736,631.6998778
Burundi,1997,6121610,Testicular Cancer,45.326,463.1151478
Burundi,2002,7021078,Testicular Cancer,47.36,446.4035126
Burundi,2007,8390505,Testicular Cancer,49.58,430.0706916
Cambodia,1952,4693836,Lung Cancer,39.417,368.4692856
Cambodia,1957,5322536,Lung Cancer,41.366,434.0383364
Cambodia,1962,6083619,Lung Cancer,43.415,496.9136476
Cambodia,1967,6960067,Lung Cancer,45.415,523.4323142
Cambodia,1972,7450606,Lung Cancer,40.317,421.6240257
Cambodia,1977,6978607,Lung Cancer,31.22,524.9721832
Cambodia,1982,7272485,Lung Cancer,50.957,624.4754784
Cambodia,1987,8371791,Lung Cancer,53.914,683.8955732
Cambodia,1992,10150094,Lung Cancer,55.803,682.3031755
Cambodia,1997,11782962,Lung Cancer,56.534,734.28517
Cambodia,2002,12926707,Lung Cancer,56.752,896.2260153
Cambodia,2007,14131858,Lung Cancer,59.723,1713.778686
Cameroon,1952,5009067,Testicular Cancer,38.523,1172.667655
Cameroon,1957,5359923,Testicular Cancer,40.428,1313.048099
Cameroon,1962,5793633,Testicular Cancer,42.643,1399.607441
Cameroon,1967,6335506,Testicular Cancer,44.799,1508.453148
Cameroon,1972,7021028,Testicular Cancer,47.049,1684.146528
Cameroon,1977,7959865,Testicular Cancer,49.355,1783.432873
Cameroon,1982,9250831,Testicular Cancer,52.961,2367.983282
Cameroon,1987,10780667,Testicular Cancer,54.985,2602.664206
Cameroon,1992,12467171,Testicular Cancer,54.314,1793.163278
Cameroon,1997,14195809,Testicular Cancer,52.199,1694.337469
Cameroon,2002,15929988,Testicular Cancer,49.856,1934.011449
Cameroon,2007,17696293,Testicular Cancer,50.43,2042.09524
Canada,1952,14785584,Cervical Cancers,68.75,11367.16112
Canada,1957,17010154,Cervical Cancers,69.96,12489.95006
Canada,1962,18985849,Cervical Cancers,71.3,13462.48555
Canada,1967,20819767,Cervical Cancers,72.13,16076.58803
Canada,1972,22284500,Cervical Cancers,72.88,18970.57086
Canada,1977,23796400,Cervical Cancers,74.21,22090.88306
Canada,1982,25201900,Cervical Cancers,75.76,22898.79214
Canada,1987,26549700,Cervical Cancers,76.86,26626.51503
Canada,1992,28523502,Cervical Cancers,77.95,26342.88426
Canada,1997,30305843,Cervical Cancers,78.61,28954.92589
Canada,2002,31902268,Cervical Cancers,79.77,33328.96507
Canada,2007,33390141,Cervical Cancers,80.653,36319.23501
Central Testicular Cancern Republic,1952,1291695,Testicular Cancer,35.463,1071.310713
Central Testicular Cancern Republic,1957,1392284,Testicular Cancer,37.464,1190.844328
Central Testicular Cancern Republic,1962,1523478,Testicular Cancer,39.475,1193.068753
Central Testicular Cancern Republic,1967,1733638,Testicular Cancer,41.478,1136.056615
Central Testicular Cancern Republic,1972,1927260,Testicular Cancer,43.457,1070.013275
Central Testicular Cancern Republic,1977,2167533,Testicular Cancer,46.775,1109.374338
Central Testicular Cancern Republic,1982,2476971,Testicular Cancer,48.295,956.7529907
Central Testicular Cancern Republic,1987,2840009,Testicular Cancer,50.485,844.8763504
Central Testicular Cancern Republic,1992,3265124,Testicular Cancer,49.396,747.9055252
Central Testicular Cancern Republic,1997,3696513,Testicular Cancer,46.066,740.5063317
Central Testicular Cancern Republic,2002,4048013,Testicular Cancer,43.308,738.6906068
Central Testicular Cancern Republic,2007,4369038,Testicular Cancer,44.741,706.016537
Chad,1952,2682462,Testicular Cancer,38.092,1178.665927
Chad,1957,2894855,Testicular Cancer,39.881,1308.495577
Chad,1962,3150417,Testicular Cancer,41.716,1389.817618
Chad,1967,3495967,Testicular Cancer,43.601,1196.810565
Chad,1972,3899068,Testicular Cancer,45.569,1104.103987
Chad,1977,4388260,Testicular Cancer,47.383,1133.98495
Chad,1982,4875118,Testicular Cancer,49.517,797.9081006
Chad,1987,5498955,Testicular Cancer,51.051,952.386129
Chad,1992,6429417,Testicular Cancer,51.724,1058.0643
Chad,1997,7562011,Testicular Cancer,51.573,1004.961353
Chad,2002,8835739,Testicular Cancer,50.525,1156.18186
Chad,2007,10238807,Testicular Cancer,50.651,1704.063724
Chile,1952,6377619,Cervical Cancers,54.745,3939.978789
Chile,1957,7048426,Cervical Cancers,56.074,4315.622723
Chile,1962,7961258,Cervical Cancers,57.924,4519.094331
Chile,1967,8858908,Cervical Cancers,60.523,5106.654313
Chile,1972,9717524,Cervical Cancers,63.441,5494.024437
Chile,1977,10599793,Cervical Cancers,67.052,4756.763836
Chile,1982,11487112,Cervical Cancers,70.565,5095.665738
Chile,1987,12463354,Cervical Cancers,72.492,5547.063754
Chile,1992,13572994,Cervical Cancers,74.126,7596.125964
Chile,1997,14599929,Cervical Cancers,75.816,10118.05318
Chile,2002,15497046,Cervical Cancers,77.86,10778.78385
Chile,2007,16284741,Cervical Cancers,78.553,13171.63885
China,1952,556263528,Lung Cancer,44,400.4486107
China,1957,637408000,Lung Cancer,50.54896,575.9870009
China,1962,665770000,Lung Cancer,44.50136,487.6740183
China,1967,754550000,Lung Cancer,58.38112,612.7056934
China,1972,862030000,Lung Cancer,63.11888,676.9000921
China,1977,943455000,Lung Cancer,63.96736,741.2374699
China,1982,1000281000,Lung Cancer,65.525,962.4213805
China,1987,1084035000,Lung Cancer,67.274,1378.904018
China,1992,1164970000,Lung Cancer,68.69,1655.784158
China,1997,1230075000,Lung Cancer,70.426,2289.234136
China,2002,1280400000,Lung Cancer,72.028,3119.280896
China,2007,1318683096,Lung Cancer,72.961,4959.114854
Colombia,1952,12350771,Cervical Cancers,50.643,2144.115096
Colombia,1957,14485993,Cervical Cancers,55.118,2323.805581
Colombia,1962,17009885,Cervical Cancers,57.863,2492.351109
Colombia,1967,19764027,Cervical Cancers,59.963,2678.729839
Colombia,1972,22542890,Cervical Cancers,61.623,3264.660041
Colombia,1977,25094412,Cervical Cancers,63.837,3815.80787
Colombia,1982,27764644,Cervical Cancers,66.653,4397.575659
Colombia,1987,30964245,Cervical Cancers,67.768,4903.2191
Colombia,1992,34202721,Cervical Cancers,68.421,5444.648617
Colombia,1997,37657830,Cervical Cancers,70.313,6117.361746
Colombia,2002,41008227,Cervical Cancers,71.682,5755.259962
Colombia,2007,44227550,Cervical Cancers,72.889,7006.580419
Comoros,1952,153936,Testicular Cancer,40.715,1102.990936
Comoros,1957,170928,Testicular Cancer,42.46,1211.148548
Comoros,1962,191689,Testicular Cancer,44.467,1406.648278
Comoros,1967,217378,Testicular Cancer,46.472,1876.029643
Comoros,1972,250027,Testicular Cancer,48.944,1937.577675
Comoros,1977,304739,Testicular Cancer,50.939,1172.603047
Comoros,1982,348643,Testicular Cancer,52.933,1267.100083
Comoros,1987,395114,Testicular Cancer,54.926,1315.980812
Comoros,1992,454429,Testicular Cancer,57.939,1246.90737
Comoros,1997,527982,Testicular Cancer,60.66,1173.618235
Comoros,2002,614382,Testicular Cancer,62.974,1075.811558
Comoros,2007,710960,Testicular Cancer,65.152,986.1478792
"Congo, Dem. Rep.",1952,14100005,Testicular Cancer,39.143,780.5423257
"Congo, Dem. Rep.",1957,15577932,Testicular Cancer,40.652,905.8602303
"Congo, Dem. Rep.",1962,17486434,Testicular Cancer,42.122,896.3146335
"Congo, Dem. Rep.",1967,19941073,Testicular Cancer,44.056,861.5932424
"Congo, Dem. Rep.",1972,23007669,Testicular Cancer,45.989,904.8960685
"Congo, Dem. Rep.",1977,26480870,Testicular Cancer,47.804,795.757282
"Congo, Dem. Rep.",1982,30646495,Testicular Cancer,47.784,673.7478181
"Congo, Dem. Rep.",1987,35481645,Testicular Cancer,47.412,672.774812
"Congo, Dem. Rep.",1992,41672143,Testicular Cancer,45.548,457.7191807
"Congo, Dem. Rep.",1997,47798986,Testicular Cancer,42.587,312.188423
"Congo, Dem. Rep.",2002,55379852,Testicular Cancer,44.966,241.1658765
"Congo, Dem. Rep.",2007,64606759,Testicular Cancer,46.462,277.5518587
"Congo, Rep.",1952,854885,Testicular Cancer,42.111,2125.621418
"Congo, Rep.",1957,940458,Testicular Cancer,45.053,2315.056572
"Congo, Rep.",1962,1047924,Testicular Cancer,48.435,2464.783157
"Congo, Rep.",1967,1179760,Testicular Cancer,52.04,2677.939642
"Congo, Rep.",1972,1340458,Testicular Cancer,54.907,3213.152683
"Congo, Rep.",1977,1536769,Testicular Cancer,55.625,3259.178978
"Congo, Rep.",1982,1774735,Testicular Cancer,56.695,4879.507522
"Congo, Rep.",1987,2064095,Testicular Cancer,57.47,4201.194937
"Congo, Rep.",1992,2409073,Testicular Cancer,56.433,4016.239529
"Congo, Rep.",1997,2800947,Testicular Cancer,52.962,3484.164376
"Congo, Rep.",2002,3328795,Testicular Cancer,52.97,3484.06197
"Congo, Rep.",2007,3800610,Testicular Cancer,55.322,3632.557798
Costa Rica,1952,926317,Cervical Cancers,57.206,2627.009471
Costa Rica,1957,1112300,Cervical Cancers,60.026,2990.010802
Costa Rica,1962,1345187,Cervical Cancers,62.842,3460.937025
Costa Rica,1967,1588717,Cervical Cancers,65.424,4161.727834
Costa Rica,1972,1834796,Cervical Cancers,67.849,5118.146939
Costa Rica,1977,2108457,Cervical Cancers,70.75,5926.876967
Costa Rica,1982,2424367,Cervical Cancers,73.45,5262.734751
Costa Rica,1987,2799811,Cervical Cancers,74.752,5629.915318
Costa Rica,1992,3173216,Cervical Cancers,75.713,6160.416317
Costa Rica,1997,3518107,Cervical Cancers,77.26,6677.045314
Costa Rica,2002,3834934,Cervical Cancers,78.123,7723.447195
Costa Rica,2007,4133884,Cervical Cancers,78.782,9645.06142
Cote d'Ivoire,1952,2977019,Testicular Cancer,40.477,1388.594732
Cote d'Ivoire,1957,3300000,Testicular Cancer,42.469,1500.895925
Cote d'Ivoire,1962,3832408,Testicular Cancer,44.93,1728.869428
Cote d'Ivoire,1967,4744870,Testicular Cancer,47.35,2052.050473
Cote d'Ivoire,1972,6071696,Testicular Cancer,49.801,2378.201111
Cote d'Ivoire,1977,7459574,Testicular Cancer,52.374,2517.736547
Cote d'Ivoire,1982,9025951,Testicular Cancer,53.983,2602.710169
Cote d'Ivoire,1987,10761098,Testicular Cancer,54.655,2156.956069
Cote d'Ivoire,1992,12772596,Testicular Cancer,52.044,1648.073791
Cote d'Ivoire,1997,14625967,Testicular Cancer,47.991,1786.265407
Cote d'Ivoire,2002,16252726,Testicular Cancer,46.832,1648.800823
Cote d'Ivoire,2007,18013409,Testicular Cancer,48.328,1544.750112
Croatia,1952,3882229,Breast Cancer,61.21,3119.23652
Croatia,1957,3991242,Breast Cancer,64.77,4338.231617
Croatia,1962,4076557,Breast Cancer,67.13,5477.890018
Croatia,1967,4174366,Breast Cancer,68.5,6960.297861
Croatia,1972,4225310,Breast Cancer,69.61,9164.090127
Croatia,1977,4318673,Breast Cancer,70.64,11305.38517
Croatia,1982,4413368,Breast Cancer,70.46,13221.82184
Croatia,1987,4484310,Breast Cancer,71.52,13822.58394
Croatia,1992,4494013,Breast Cancer,72.527,8447.794873
Croatia,1997,4444595,Breast Cancer,73.68,9875.604515
Croatia,2002,4481020,Breast Cancer,74.876,11628.38895
Croatia,2007,4493312,Breast Cancer,75.748,14619.22272
Cuba,1952,6007797,Cervical Cancers,59.421,5586.53878
Cuba,1957,6640752,Cervical Cancers,62.325,6092.174359
Cuba,1962,7254373,Cervical Cancers,65.246,5180.75591
Cuba,1967,8139332,Cervical Cancers,68.29,5690.268015
Cuba,1972,8831348,Cervical Cancers,70.723,5305.445256
Cuba,1977,9537988,Cervical Cancers,72.649,6380.494966
Cuba,1982,9789224,Cervical Cancers,73.717,7316.918107
Cuba,1987,10239839,Cervical Cancers,74.174,7532.924763
Cuba,1992,10723260,Cervical Cancers,74.414,5592.843963
Cuba,1997,10983007,Cervical Cancers,76.151,5431.990415
Cuba,2002,11226999,Cervical Cancers,77.158,6340.646683
Cuba,2007,11416987,Cervical Cancers,78.273,8948.102923
Czech Republic,1952,9125183,Breast Cancer,66.87,6876.14025
Czech Republic,1957,9513758,Breast Cancer,69.03,8256.343918
Czech Republic,1962,9620282,Breast Cancer,69.9,10136.86713
Czech Republic,1967,9835109,Breast Cancer,70.38,11399.44489
Czech Republic,1972,9862158,Breast Cancer,70.29,13108.4536
Czech Republic,1977,10161915,Breast Cancer,70.71,14800.16062
Czech Republic,1982,10303704,Breast Cancer,70.96,15377.22855
Czech Republic,1987,10311597,Breast Cancer,71.58,16310.4434
Czech Republic,1992,10315702,Breast Cancer,72.4,14297.02122
Czech Republic,1997,10300707,Breast Cancer,74.01,16048.51424
Czech Republic,2002,10256295,Breast Cancer,75.51,17596.21022
Czech Republic,2007,10228744,Breast Cancer,76.486,22833.30851
Denmark,1952,4334000,Breast Cancer,70.78,9692.385245
Denmark,1957,4487831,Breast Cancer,71.81,11099.65935
Denmark,1962,4646899,Breast Cancer,72.35,13583.31351
Denmark,1967,4838800,Breast Cancer,72.96,15937.21123
Denmark,1972,4991596,Breast Cancer,73.47,18866.20721
Denmark,1977,5088419,Breast Cancer,74.69,20422.9015
Denmark,1982,5117810,Breast Cancer,74.63,21688.04048
Denmark,1987,5127024,Breast Cancer,74.8,25116.17581
Denmark,1992,5171393,Breast Cancer,75.33,26406.73985
Denmark,1997,5283663,Breast Cancer,76.11,29804.34567
Denmark,2002,5374693,Breast Cancer,77.18,32166.50006
Denmark,2007,5468120,Breast Cancer,78.332,35278.41874
Djibouti,1952,63149,Testicular Cancer,34.812,2669.529475
Djibouti,1957,71851,Testicular Cancer,37.328,2864.969076
Djibouti,1962,89898,Testicular Cancer,39.693,3020.989263
Djibouti,1967,127617,Testicular Cancer,42.074,3020.050513
Djibouti,1972,178848,Testicular Cancer,44.366,3694.212352
Djibouti,1977,228694,Testicular Cancer,46.519,3081.761022
Djibouti,1982,305991,Testicular Cancer,48.812,2879.468067
Djibouti,1987,311025,Testicular Cancer,50.04,2880.102568
Djibouti,1992,384156,Testicular Cancer,51.604,2377.156192
Djibouti,1997,417908,Testicular Cancer,53.157,1895.016984
Djibouti,2002,447416,Testicular Cancer,53.373,1908.260867
Djibouti,2007,496374,Testicular Cancer,54.791,2082.481567
Dominican Republic,1952,2491346,Cervical Cancers,45.928,1397.717137
Dominican Republic,1957,2923186,Cervical Cancers,49.828,1544.402995
Dominican Republic,1962,3453434,Cervical Cancers,53.459,1662.137359
Dominican Republic,1967,4049146,Cervical Cancers,56.751,1653.723003
Dominican Republic,1972,4671329,Cervical Cancers,59.631,2189.874499
Dominican Republic,1977,5302800,Cervical Cancers,61.788,2681.9889
Dominican Republic,1982,5968349,Cervical Cancers,63.727,2861.092386
